 m,M ->b,B
x-axis: "cos(p1,p3)"  from -1.000000 to 1.000000 N_points= 101
Diff. cross section [pb]
-9.900990E-01 6.092473E+01
-9.702970E-01 6.084636E+01
-9.504950E-01 6.076943E+01
-9.306931E-01 6.069392E+01
-9.108911E-01 6.061984E+01
-8.910891E-01 6.054720E+01
-8.712871E-01 6.047598E+01
-8.514851E-01 6.040620E+01
-8.316832E-01 6.033785E+01
-8.118812E-01 6.027092E+01
-7.920792E-01 6.020543E+01
-7.722772E-01 6.014137E+01
-7.524752E-01 6.007874E+01
-7.326733E-01 6.001754E+01
-7.128713E-01 5.995777E+01
-6.930693E-01 5.989943E+01
-6.732673E-01 5.984252E+01
-6.534653E-01 5.978704E+01
-6.336634E-01 5.973299E+01
-6.138614E-01 5.968038E+01
-5.940594E-01 5.962919E+01
-5.742574E-01 5.957944E+01
-5.544554E-01 5.953111E+01
-5.346535E-01 5.948422E+01
-5.148515E-01 5.943875E+01
-4.950495E-01 5.939472E+01
-4.752475E-01 5.935212E+01
-4.554455E-01 5.931095E+01
-4.356436E-01 5.927120E+01
-4.158416E-01 5.923289E+01
-3.960396E-01 5.919601E+01
-3.762376E-01 5.916057E+01
-3.564356E-01 5.912655E+01
-3.366337E-01 5.909396E+01
-3.168317E-01 5.906280E+01
-2.970297E-01 5.903307E+01
-2.772277E-01 5.900478E+01
-2.574257E-01 5.897791E+01
-2.376238E-01 5.895248E+01
-2.178218E-01 5.892847E+01
-1.980198E-01 5.890590E+01
-1.782178E-01 5.888476E+01
-1.584158E-01 5.886504E+01
-1.386139E-01 5.884676E+01
-1.188119E-01 5.882991E+01
-9.900990E-02 5.881449E+01
-7.920792E-02 5.880050E+01
-5.940594E-02 5.878794E+01
-3.960396E-02 5.877681E+01
-1.980198E-02 5.876711E+01
-8.673617E-18 5.875885E+01
1.980198E-02 5.875201E+01
3.960396E-02 5.874660E+01
5.940594E-02 5.874263E+01
7.920792E-02 5.874008E+01
9.900990E-02 5.873897E+01
1.188119E-01 5.873928E+01
1.386139E-01 5.874103E+01
1.584158E-01 5.874421E+01
1.782178E-01 5.874881E+01
1.980198E-01 5.875485E+01
2.178218E-01 5.876232E+01
2.376238E-01 5.877122E+01
2.574257E-01 5.878155E+01
2.772277E-01 5.879331E+01
2.970297E-01 5.880651E+01
3.168317E-01 5.882113E+01
3.366337E-01 5.883718E+01
3.564356E-01 5.885466E+01
3.762376E-01 5.887358E+01
3.960396E-01 5.889392E+01
4.158416E-01 5.891570E+01
4.356436E-01 5.893890E+01
4.554455E-01 5.896354E+01
4.752475E-01 5.898961E+01
4.950495E-01 5.901711E+01
5.148515E-01 5.904604E+01
5.346535E-01 5.907639E+01
5.544554E-01 5.910818E+01
5.742574E-01 5.914140E+01
5.940594E-01 5.917606E+01
6.138614E-01 5.921214E+01
6.336634E-01 5.924965E+01
6.534653E-01 5.928859E+01
6.732673E-01 5.932897E+01
6.930693E-01 5.937077E+01
7.128713E-01 5.941400E+01
7.326733E-01 5.945867E+01
7.524752E-01 5.950476E+01
7.722772E-01 5.955229E+01
7.920792E-01 5.960125E+01
8.118812E-01 5.965164E+01
8.316832E-01 5.970345E+01
8.514851E-01 5.975670E+01
8.712871E-01 5.981138E+01
8.910891E-01 5.986749E+01
9.108911E-01 5.992503E+01
9.306931E-01 5.998401E+01
9.504950E-01 6.004441E+01
9.702970E-01 6.010624E+01
9.900990E-01 6.016950E+01
