 m,M ->c,C
x-axis: "Sqrt(S)"  from 10.000000 to 200.000000 N_points= 100
Asymmetry
1.000000E+01 -8.612789E-03
1.191919E+01 -1.271487E-02
1.383838E+01 -1.759477E-02
1.575758E+01 -2.327740E-02
1.767677E+01 -2.979311E-02
1.959596E+01 -3.717747E-02
2.151515E+01 -4.547136E-02
2.343434E+01 -5.472119E-02
2.535354E+01 -6.497910E-02
2.727273E+01 -7.630325E-02
2.919192E+01 -8.875805E-02
3.111111E+01 -1.024143E-01
3.303030E+01 -1.173492E-01
3.494949E+01 -1.336462E-01
3.686869E+01 -1.513946E-01
3.878788E+01 -1.706884E-01
4.070707E+01 -1.916248E-01
4.262626E+01 -2.143017E-01
4.454545E+01 -2.388131E-01
4.646465E+01 -2.652438E-01
4.838384E+01 -2.936599E-01
5.030303E+01 -3.240968E-01
5.222222E+01 -3.565411E-01
5.414141E+01 -3.909064E-01
5.606061E+01 -4.270003E-01
5.797980E+01 -4.644807E-01
5.989899E+01 -5.028003E-01
6.181818E+01 -5.411391E-01
6.373737E+01 -5.783279E-01
6.565657E+01 -6.127713E-01
6.757576E+01 -6.423890E-01
6.949495E+01 -6.646046E-01
7.141414E+01 -6.764248E-01
7.333333E+01 -6.746548E-01
7.525253E+01 -6.562831E-01
7.717172E+01 -6.190177E-01
7.909091E+01 -5.618782E-01
8.101010E+01 -4.856671E-01
8.292929E+01 -3.931210E-01
8.484848E+01 -2.886189E-01
8.676768E+01 -1.774997E-01
8.868687E+01 -6.520114E-02
9.060606E+01 4.351034E-02
9.252525E+01 1.450255E-01
9.444444E+01 2.370444E-01
9.636364E+01 3.184641E-01
9.828283E+01 3.891225E-01
1.002020E+02 4.495033E-01
1.021212E+02 5.004735E-01
1.040404E+02 5.430806E-01
1.059596E+02 5.784134E-01
1.078788E+02 6.075162E-01
1.097980E+02 6.313424E-01
1.117172E+02 6.507353E-01
1.136364E+02 6.664239E-01
1.155556E+02 6.790297E-01
1.174747E+02 6.890766E-01
1.193939E+02 6.970033E-01
1.213131E+02 7.031756E-01
1.232323E+02 7.078970E-01
1.251515E+02 7.113497E-01
1.270707E+02 7.139537E-01
1.289899E+02 7.156709E-01
1.309091E+02 7.167149E-01
1.328283E+02 7.172049E-01
1.347475E+02 7.172398E-01
1.366667E+02 7.169016E-01
1.385859E+02 7.162589E-01
1.405051E+02 7.153685E-01
1.424242E+02 7.142778E-01
1.443434E+02 7.130265E-01
1.462626E+02 7.116475E-01
1.481818E+02 7.101685E-01
1.501010E+02 7.086125E-01
1.520202E+02 7.069987E-01
1.539394E+02 7.053433E-01
1.558586E+02 7.036597E-01
1.577778E+02 7.019589E-01
1.596970E+02 7.002504E-01
1.616162E+02 6.985419E-01
1.635354E+02 6.968397E-01
1.654545E+02 6.951491E-01
1.673737E+02 6.934744E-01
1.692929E+02 6.918192E-01
1.712121E+02 6.901863E-01
1.731313E+02 6.885779E-01
1.750505E+02 6.869958E-01
1.769697E+02 6.854415E-01
1.788889E+02 6.839159E-01
1.808081E+02 6.824199E-01
1.827273E+02 6.809538E-01
1.846465E+02 6.795181E-01
1.865657E+02 6.781128E-01
1.884848E+02 6.767379E-01
1.904040E+02 6.753933E-01
1.923232E+02 6.740788E-01
1.942424E+02 6.727940E-01
1.961616E+02 6.715385E-01
1.980808E+02 6.703119E-01
2.000000E+02 6.691137E-01
