 m,M ->e,E
x-axis: "Sqrt(S)"  from 10.000000 to 200.000000 N_points= 100
Asymmetry
1.000000E+01 -6.413946E-03
1.191919E+01 -9.159976E-03
1.383838E+01 -1.242292E-02
1.575758E+01 -1.622095E-02
1.767677E+01 -2.057553E-02
1.959596E+01 -2.551167E-02
2.151515E+01 -3.105824E-02
2.343434E+01 -3.724838E-02
2.535354E+01 -4.411982E-02
2.727273E+01 -5.171546E-02
2.919192E+01 -6.008388E-02
3.111111E+01 -6.927999E-02
3.303030E+01 -7.936574E-02
3.494949E+01 -9.041090E-02
3.686869E+01 -1.024940E-01
3.878788E+01 -1.157033E-01
4.070707E+01 -1.301377E-01
4.262626E+01 -1.459080E-01
4.454545E+01 -1.631378E-01
4.646465E+01 -1.819644E-01
4.838384E+01 -2.025395E-01
5.030303E+01 -2.250288E-01
5.222222E+01 -2.496112E-01
5.414141E+01 -2.764754E-01
5.606061E+01 -3.058140E-01
5.797980E+01 -3.378123E-01
5.989899E+01 -3.726293E-01
6.181818E+01 -4.103665E-01
6.373737E+01 -4.510179E-01
6.565657E+01 -4.943909E-01
6.757576E+01 -5.399865E-01
6.949495E+01 -5.868209E-01
7.141414E+01 -6.331737E-01
7.333333E+01 -6.762594E-01
7.525253E+01 -7.118526E-01
7.717172E+01 -7.339861E-01
7.909091E+01 -7.349774E-01
8.101010E+01 -7.062065E-01
8.292929E+01 -6.400586E-01
8.484848E+01 -5.329626E-01
8.676768E+01 -3.883666E-01
8.868687E+01 -2.175844E-01
9.060606E+01 -3.715414E-02
9.252525E+01 1.361888E-01
9.444444E+01 2.899963E-01
9.636364E+01 4.179152E-01
9.828283E+01 5.189182E-01
1.002020E+02 5.953651E-01
1.021212E+02 6.511428E-01
1.040404E+02 6.904071E-01
1.059596E+02 7.169266E-01
1.078788E+02 7.338384E-01
1.097980E+02 7.436269E-01
1.117172E+02 7.482018E-01
1.136364E+02 7.490037E-01
1.155556E+02 7.471078E-01
1.174747E+02 7.433105E-01
1.193939E+02 7.381996E-01
1.213131E+02 7.322074E-01
1.232323E+02 7.256511E-01
1.251515E+02 7.187628E-01
1.270707E+02 7.117116E-01
1.289899E+02 7.046200E-01
1.309091E+02 6.975761E-01
1.328283E+02 6.906424E-01
1.347475E+02 6.838622E-01
1.366667E+02 6.772649E-01
1.385859E+02 6.708694E-01
1.405051E+02 6.646870E-01
1.424242E+02 6.587232E-01
1.443434E+02 6.529794E-01
1.462626E+02 6.474538E-01
1.481818E+02 6.421428E-01
1.501010E+02 6.370409E-01
1.520202E+02 6.321418E-01
1.539394E+02 6.274385E-01
1.558586E+02 6.229237E-01
1.577778E+02 6.185896E-01
1.596970E+02 6.144287E-01
1.616162E+02 6.104334E-01
1.635354E+02 6.065963E-01
1.654545E+02 6.029102E-01
1.673737E+02 5.993681E-01
1.692929E+02 5.959632E-01
1.712121E+02 5.926891E-01
1.731313E+02 5.895396E-01
1.750505E+02 5.865090E-01
1.769697E+02 5.835915E-01
1.788889E+02 5.807819E-01
1.808081E+02 5.780751E-01
1.827273E+02 5.754663E-01
1.846465E+02 5.729510E-01
1.865657E+02 5.705249E-01
1.884848E+02 5.681839E-01
1.904040E+02 5.659241E-01
1.923232E+02 5.637418E-01
1.942424E+02 5.616336E-01
1.961616E+02 5.595963E-01
1.980808E+02 5.576266E-01
2.000000E+02 5.557216E-01
