 m,M ->m,M
x-axis: "Sqrt(S)"  from 10.000000 to 200.000000 N_points= 100
Asymmetry
1.000000E+01 9.628609E-01
1.191919E+01 9.628922E-01
1.383838E+01 9.629300E-01
1.575758E+01 9.629724E-01
1.767677E+01 9.630193E-01
1.959596E+01 9.630698E-01
2.151515E+01 9.631224E-01
2.343434E+01 9.631761E-01
2.535354E+01 9.632309E-01
2.727273E+01 9.632844E-01
2.919192E+01 9.633364E-01
3.111111E+01 9.633854E-01
3.303030E+01 9.634295E-01
3.494949E+01 9.634670E-01
3.686869E+01 9.634972E-01
3.878788E+01 9.635169E-01
4.070707E+01 9.635241E-01
4.262626E+01 9.635172E-01
4.454545E+01 9.634918E-01
4.646465E+01 9.634458E-01
4.838384E+01 9.633751E-01
5.030303E+01 9.632740E-01
5.222222E+01 9.631381E-01
5.414141E+01 9.629602E-01
5.606061E+01 9.627323E-01
5.797980E+01 9.624429E-01
5.989899E+01 9.620799E-01
6.181818E+01 9.616261E-01
6.373737E+01 9.610592E-01
6.565657E+01 9.603494E-01
6.757576E+01 9.594560E-01
6.949495E+01 9.583218E-01
7.141414E+01 9.568652E-01
7.333333E+01 9.549610E-01
7.525253E+01 9.524206E-01
7.717172E+01 9.489337E-01
7.909091E+01 9.439612E-01
8.101010E+01 9.365131E-01
8.292929E+01 9.245638E-01
8.484848E+01 9.034693E-01
8.676768E+01 8.606642E-01
8.868687E+01 7.551045E-01
9.060606E+01 4.745597E-01
9.252525E+01 4.864920E-01
9.444444E+01 8.162720E-01
9.636364E+01 9.188518E-01
9.828283E+01 9.519474E-01
1.002020E+02 9.652245E-01
1.021212E+02 9.714396E-01
1.040404E+02 9.746682E-01
1.059596E+02 9.764724E-01
1.078788E+02 9.775336E-01
1.097980E+02 9.781836E-01
1.117172E+02 9.785937E-01
1.136364E+02 9.788593E-01
1.155556E+02 9.790342E-01
1.174747E+02 9.791524E-01
1.193939E+02 9.792342E-01
1.213131E+02 9.792926E-01
1.232323E+02 9.793348E-01
1.251515E+02 9.793816E-01
1.270707E+02 9.793980E-01
1.289899E+02 9.794214E-01
1.309091E+02 9.794427E-01
1.328283E+02 9.794635E-01
1.347475E+02 9.794845E-01
1.366667E+02 9.795050E-01
1.385859E+02 9.795264E-01
1.405051E+02 9.795485E-01
1.424242E+02 9.795713E-01
1.443434E+02 9.795954E-01
1.462626E+02 9.796193E-01
1.481818E+02 9.796445E-01
1.501010E+02 9.796703E-01
1.520202E+02 9.796967E-01
1.539394E+02 9.797236E-01
1.558586E+02 9.797511E-01
1.577778E+02 9.797789E-01
1.596970E+02 9.798071E-01
1.616162E+02 9.798356E-01
1.635354E+02 9.798643E-01
1.654545E+02 9.798931E-01
1.673737E+02 9.799221E-01
1.692929E+02 9.799516E-01
1.712121E+02 9.799802E-01
1.731313E+02 9.800093E-01
1.750505E+02 9.800383E-01
1.769697E+02 9.800672E-01
1.788889E+02 9.800960E-01
1.808081E+02 9.801247E-01
1.827273E+02 9.801532E-01
1.846465E+02 9.801815E-01
1.865657E+02 9.802096E-01
1.884848E+02 9.802375E-01
1.904040E+02 9.802652E-01
1.923232E+02 9.802926E-01
1.942424E+02 9.803198E-01
1.961616E+02 9.803467E-01
1.980808E+02 9.803733E-01
2.000000E+02 9.803996E-01
