 m,M ->b,B
x-axis: "Sqrt(S)"  from 10.000000 to 200.000000 N_points= 100
Asymmetry
1.000000E+01 -3.180979E-03
1.191919E+01 -1.199413E-02
1.383838E+01 -2.132808E-02
1.575758E+01 -3.221086E-02
1.767677E+01 -4.477540E-02
1.959596E+01 -5.908060E-02
2.151515E+01 -7.517428E-02
2.343434E+01 -9.310260E-02
2.535354E+01 -1.129089E-01
2.727273E+01 -1.346293E-01
2.919192E+01 -1.582863E-01
3.111111E+01 -1.838808E-01
3.303030E+01 -2.113816E-01
3.494949E+01 -2.407133E-01
3.686869E+01 -2.717417E-01
3.878788E+01 -3.042560E-01
4.070707E+01 -3.379504E-01
4.262626E+01 -3.724037E-01
4.454545E+01 -4.070610E-01
4.646465E+01 -4.412183E-01
4.838384E+01 -4.740164E-01
5.030303E+01 -5.044469E-01
5.222222E+01 -5.313775E-01
5.414141E+01 -5.535993E-01
5.606061E+01 -5.698992E-01
5.797980E+01 -5.791536E-01
5.989899E+01 -5.804349E-01
6.181818E+01 -5.731152E-01
6.373737E+01 -5.569499E-01
6.565657E+01 -5.321233E-01
6.757576E+01 -4.992445E-01
6.949495E+01 -4.592931E-01
7.141414E+01 -4.135243E-01
7.333333E+01 -3.633507E-01
7.525253E+01 -3.102219E-01
7.717172E+01 -2.555192E-01
7.909091E+01 -2.004768E-01
8.101010E+01 -1.461346E-01
8.292929E+01 -9.331837E-02
8.484848E+01 -4.264364E-02
8.676768E+01 5.465471E-03
8.868687E+01 5.074867E-02
9.060606E+01 9.307893E-02
9.252525E+01 1.324326E-01
9.444444E+01 1.688627E-01
9.636364E+01 2.024760E-01
9.828283E+01 2.334147E-01
1.002020E+02 2.618419E-01
1.021212E+02 2.879313E-01
1.040404E+02 3.118586E-01
1.059596E+02 3.337967E-01
1.078788E+02 3.539116E-01
1.097980E+02 3.723602E-01
1.117172E+02 3.892893E-01
1.136364E+02 4.048345E-01
1.155556E+02 4.191207E-01
1.174747E+02 4.322619E-01
1.193939E+02 4.443622E-01
1.213131E+02 4.555158E-01
1.232323E+02 4.658065E-01
1.251515E+02 4.748525E-01
1.270707E+02 4.841130E-01
1.289899E+02 4.922613E-01
1.309091E+02 4.998151E-01
1.328283E+02 5.068272E-01
1.347475E+02 5.133446E-01
1.366667E+02 5.194093E-01
1.385859E+02 5.250594E-01
1.405051E+02 5.303295E-01
1.424242E+02 5.352508E-01
1.443434E+02 5.398515E-01
1.462626E+02 5.441573E-01
1.481818E+02 5.481914E-01
1.501010E+02 5.519752E-01
1.520202E+02 5.555277E-01
1.539394E+02 5.588666E-01
1.558586E+02 5.620079E-01
1.577778E+02 5.649661E-01
1.596970E+02 5.677545E-01
1.616162E+02 5.703855E-01
1.635354E+02 5.728701E-01
1.654545E+02 5.752186E-01
1.673737E+02 5.774404E-01
1.692929E+02 5.795440E-01
1.712121E+02 5.815376E-01
1.731313E+02 5.834282E-01
1.750505E+02 5.852227E-01
1.769697E+02 5.869273E-01
1.788889E+02 5.885478E-01
1.808081E+02 5.900893E-01
1.827273E+02 5.915568E-01
1.846465E+02 5.929549E-01
1.865657E+02 5.942876E-01
1.884848E+02 5.955591E-01
1.904040E+02 5.967728E-01
1.923232E+02 5.979321E-01
1.942424E+02 5.990402E-01
1.961616E+02 6.000999E-01
1.980808E+02 6.011141E-01
2.000000E+02 6.020851E-01
