 m,M ->b,B
x-axis: "Sqrt(S)"  from 10.000000 to 3000.000000 N_points= 200
Asymmetry
1.000000E+01 -3.187512E-03
2.502513E+01 -1.095973E-01
4.005025E+01 -3.268559E-01
5.507538E+01 -5.629922E-01
7.010050E+01 -4.456770E-01
8.512563E+01 -3.556285E-02
1.001508E+02 2.611202E-01
1.151759E+02 4.163207E-01
1.302010E+02 4.968608E-01
1.452261E+02 5.413999E-01
1.602513E+02 5.677735E-01
1.752764E+02 5.843345E-01
1.903015E+02 5.952359E-01
2.053266E+02 6.026790E-01
2.203518E+02 6.079006E-01
2.353769E+02 6.116319E-01
2.504020E+02 6.143245E-01
2.654271E+02 6.162681E-01
2.804523E+02 6.176544E-01
2.954774E+02 6.186143E-01
3.105025E+02 6.192390E-01
3.255276E+02 6.195934E-01
3.405528E+02 6.197247E-01
3.555779E+02 6.196674E-01
3.706030E+02 6.194473E-01
3.856281E+02 6.190838E-01
4.006533E+02 6.185913E-01
4.156784E+02 6.179807E-01
4.307035E+02 6.172603E-01
4.457286E+02 6.164361E-01
4.607538E+02 6.155124E-01
4.757789E+02 6.144923E-01
4.908040E+02 6.133777E-01
5.058291E+02 6.121694E-01
5.208543E+02 6.108677E-01
5.358794E+02 6.094721E-01
5.509045E+02 6.079815E-01
5.659296E+02 6.063943E-01
5.809548E+02 6.047084E-01
5.959799E+02 6.029212E-01
6.110050E+02 6.010297E-01
6.260302E+02 5.990306E-01
6.410553E+02 5.969200E-01
6.560804E+02 5.946939E-01
6.711055E+02 5.923475E-01
6.861307E+02 5.898759E-01
7.011558E+02 5.872738E-01
7.161809E+02 5.845354E-01
7.312060E+02 5.816546E-01
7.462312E+02 5.786247E-01
7.612563E+02 5.754387E-01
7.762814E+02 5.720891E-01
7.913065E+02 5.685679E-01
8.063317E+02 5.648666E-01
8.213568E+02 5.609764E-01
8.363819E+02 5.568877E-01
8.514070E+02 5.525905E-01
8.664322E+02 5.480743E-01
8.814573E+02 5.433278E-01
8.964824E+02 5.383394E-01
9.115075E+02 5.330968E-01
9.265327E+02 5.275870E-01
9.415578E+02 5.217965E-01
9.565829E+02 5.157111E-01
9.716080E+02 5.093161E-01
9.866332E+02 5.025962E-01
1.001658E+03 4.955355E-01
1.016683E+03 4.881175E-01
1.031709E+03 4.803254E-01
1.046734E+03 4.721420E-01
1.061759E+03 4.635495E-01
1.076784E+03 4.545302E-01
1.091809E+03 4.450662E-01
1.106834E+03 4.351398E-01
1.121859E+03 4.247333E-01
1.136884E+03 4.138299E-01
1.151910E+03 4.024134E-01
1.166935E+03 3.904689E-01
1.181960E+03 3.779829E-01
1.196985E+03 3.649440E-01
1.212010E+03 3.513432E-01
1.227035E+03 3.371746E-01
1.242060E+03 3.224361E-01
1.257085E+03 3.071299E-01
1.272111E+03 2.912634E-01
1.287136E+03 2.748500E-01
1.302161E+03 2.579097E-01
1.317186E+03 2.404704E-01
1.332211E+03 2.225685E-01
1.347236E+03 2.042496E-01
1.362261E+03 1.855696E-01
1.377286E+03 1.665948E-01
1.392312E+03 1.474029E-01
1.407337E+03 1.280829E-01
1.422362E+03 1.087352E-01
1.437387E+03 8.947083E-02
1.452412E+03 7.041120E-02
1.467437E+03 5.168643E-02
1.482462E+03 3.343384E-02
1.497487E+03 1.579581E-02
1.512513E+03 -1.082813E-03
1.527538E+03 -1.705761E-02
1.542563E+03 -3.198782E-02
1.557588E+03 -4.573964E-02
1.572613E+03 -5.818965E-02
1.587638E+03 -6.922801E-02
1.602663E+03 -7.876136E-02
1.617688E+03 -8.671533E-02
1.632714E+03 -9.303640E-02
1.647739E+03 -9.769307E-02
1.662764E+03 -1.006764E-01
1.677789E+03 -1.019995E-01
1.692814E+03 -1.016969E-01
1.707839E+03 -9.982259E-02
1.722864E+03 -9.644796E-02
1.737889E+03 -9.165924E-02
1.752915E+03 -8.555471E-02
1.767940E+03 -7.824175E-02
1.782965E+03 -6.983396E-02
1.797990E+03 -6.044840E-02
1.813015E+03 -5.020304E-02
1.828040E+03 -3.921453E-02
1.843065E+03 -2.759631E-02
1.858090E+03 -1.545701E-02
1.873116E+03 -2.899262E-03
1.888141E+03 9.981194E-03
1.903166E+03 2.309610E-02
1.918191E+03 3.636499E-02
1.933216E+03 4.971531E-02
1.948241E+03 6.308229E-02
1.963266E+03 7.640873E-02
1.978291E+03 8.964467E-02
1.993317E+03 1.027469E-01
2.008342E+03 1.156786E-01
2.023367E+03 1.284087E-01
2.038392E+03 1.409114E-01
2.053417E+03 1.531656E-01
2.068442E+03 1.651547E-01
2.083467E+03 1.768656E-01
2.098492E+03 1.882888E-01
2.113518E+03 1.994175E-01
