 m,M ->b,B
x-axis: "Sqrt(S)"  from 50.000000 to 3000.000000 N_points= 200
Cross Section [pb]
5.000000E+01 1.656840E+01
6.482412E+01 2.034616E+01
7.964824E+01 9.078587E+01
9.447236E+01 1.162055E+03
1.092965E+02 5.303507E+01
1.241206E+02 1.938963E+01
1.389447E+02 1.078344E+01
1.537688E+02 7.141144E+00
1.685930E+02 5.191081E+00
1.834171E+02 3.996119E+00
1.982412E+02 3.197530E+00
2.130653E+02 2.630837E+00
2.278894E+02 2.210697E+00
2.427136E+02 1.888650E+00
2.575377E+02 1.635237E+00
2.723618E+02 1.431566E+00
2.871859E+02 1.264988E+00
3.020101E+02 1.126735E+00
3.168342E+02 1.010543E+00
3.316583E+02 9.118304E-01
3.464824E+02 8.271716E-01
3.613065E+02 7.539575E-01
3.761307E+02 6.901700E-01
3.909548E+02 6.342249E-01
4.057789E+02 5.848632E-01
4.206030E+02 5.410732E-01
4.354271E+02 5.020333E-01
4.502513E+02 4.670701E-01
4.650754E+02 4.356272E-01
4.798995E+02 4.072415E-01
4.947236E+02 3.815244E-01
5.095477E+02 3.581479E-01
5.243719E+02 3.368336E-01
5.391960E+02 3.173438E-01
5.540201E+02 2.994745E-01
5.688442E+02 2.830496E-01
5.836683E+02 2.679167E-01
5.984925E+02 2.539433E-01
6.133166E+02 2.410134E-01
6.281407E+02 2.290255E-01
6.429648E+02 2.178902E-01
6.577889E+02 2.075288E-01
6.726131E+02 1.978714E-01
6.874372E+02 1.888559E-01
7.022613E+02 1.804272E-01
7.170854E+02 1.725360E-01
7.319095E+02 1.651380E-01
7.467337E+02 1.581938E-01
7.615578E+02 1.516677E-01
7.763819E+02 1.455277E-01
7.912060E+02 1.397446E-01
8.060302E+02 1.342925E-01
8.208543E+02 1.291474E-01
8.356784E+02 1.242880E-01
8.505025E+02 1.196944E-01
8.653266E+02 1.153491E-01
8.801508E+02 1.112356E-01
8.949749E+02 1.073393E-01
9.097990E+02 1.036465E-01
9.246231E+02 1.001448E-01
9.394472E+02 9.682311E-02
9.542714E+02 9.367093E-02
9.690955E+02 9.067885E-02
9.839196E+02 8.783821E-02
9.987437E+02 8.514112E-02
1.013568E+03 8.258035E-02
1.028392E+03 8.014933E-02
1.043216E+03 7.784207E-02
1.058040E+03 7.565312E-02
1.072864E+03 7.357757E-02
1.087688E+03 7.161098E-02
1.102513E+03 6.974940E-02
1.117337E+03 6.798931E-02
1.132161E+03 6.632763E-02
1.146985E+03 6.476167E-02
1.161809E+03 6.328920E-02
1.176633E+03 6.190834E-02
1.191457E+03 6.061766E-02
1.206281E+03 5.941612E-02
1.221106E+03 5.830308E-02
1.235930E+03 5.727835E-02
1.250754E+03 5.634220E-02
1.265578E+03 5.549532E-02
1.280402E+03 5.473895E-02
1.295226E+03 5.407483E-02
1.310050E+03 5.350530E-02
1.324874E+03 5.303332E-02
1.339698E+03 5.266254E-02
1.354523E+03 5.239738E-02
1.369347E+03 5.224314E-02
1.384171E+03 5.220605E-02
1.398995E+03 5.229348E-02
1.413819E+03 5.251401E-02
1.428643E+03 5.287766E-02
1.443467E+03 5.339610E-02
1.458291E+03 5.408287E-02
1.473116E+03 5.495377E-02
1.487940E+03 5.602715E-02
1.502764E+03 5.732442E-02
1.517588E+03 5.887057E-02
1.532412E+03 6.069488E-02
1.547236E+03 6.283171E-02
1.562060E+03 6.532156E-02
1.576884E+03 6.821233E-02
1.591709E+03 7.156090E-02
1.606533E+03 7.543518E-02
1.621357E+03 7.991657E-02
1.636181E+03 8.510330E-02
1.651005E+03 9.111454E-02
1.665829E+03 9.809582E-02
1.680653E+03 1.062262E-01
1.695477E+03 1.157274E-01
1.710302E+03 1.268768E-01
1.725126E+03 1.400238E-01
1.739950E+03 1.556132E-01
1.754774E+03 1.742169E-01
1.769598E+03 1.965785E-01
1.784422E+03 2.236763E-01
1.799246E+03 2.568137E-01
1.814070E+03 2.977507E-01
1.828894E+03 3.488971E-01
1.843719E+03 4.135992E-01
1.858543E+03 4.965676E-01
1.873367E+03 6.045102E-01
1.888191E+03 7.470441E-01
1.903015E+03 9.379047E-01
1.917839E+03 1.196179E+00
1.932663E+03 1.546267E+00
1.947487E+03 2.012294E+00
1.962312E+03 2.596664E+00
1.977136E+03 3.230453E+00
1.991960E+03 3.723512E+00
2.006784E+03 3.840327E+00
2.021608E+03 3.529833E+00
2.036432E+03 2.980193E+00
2.051256E+03 2.407051E+00
2.066080E+03 1.918126E+00
2.080905E+03 1.534578E+00
2.095729E+03 1.242506E+00
2.110553E+03 1.021007E+00
2.125377E+03 8.517469E-01
2.140201E+03 7.207670E-01
2.155025E+03 6.179526E-01
2.169849E+03 5.360773E-01
2.184673E+03 4.699720E-01
2.199497E+03 4.159082E-01
2.214322E+03 3.711647E-01
2.229146E+03 3.337303E-01
2.243970E+03 3.020982E-01
2.258794E+03 2.751255E-01
2.273618E+03 2.519344E-01
2.288442E+03 2.318426E-01
2.303266E+03 2.143143E-01
2.318090E+03 1.989241E-01
2.332915E+03 1.853312E-01
2.347739E+03 1.732601E-01
2.362563E+03 1.624861E-01
2.377387E+03 1.528248E-01
2.392211E+03 1.441234E-01
2.407035E+03 1.362547E-01
2.421859E+03 1.291120E-01
2.436683E+03 1.226053E-01
2.451508E+03 1.166581E-01
2.466332E+03 1.112056E-01
2.481156E+03 1.061917E-01
2.495980E+03 1.015685E-01
2.510804E+03 9.729442E-02
2.525628E+03 9.333336E-02
2.540452E+03 8.965384E-02
2.555276E+03 8.622831E-02
2.570101E+03 8.303257E-02
2.584925E+03 8.004528E-02
2.599749E+03 7.724757E-02
2.614573E+03 7.462272E-02
2.629397E+03 7.215582E-02
2.644221E+03 6.983361E-02
2.659045E+03 6.764419E-02
2.673869E+03 6.557691E-02
2.688693E+03 6.362219E-02
2.703518E+03 6.177138E-02
2.718342E+03 6.001669E-02
2.733166E+03 5.835105E-02
2.747990E+03 5.676807E-02
2.762814E+03 5.526191E-02
2.777638E+03 5.382728E-02
2.792462E+03 5.245932E-02
2.807286E+03 5.115363E-02
2.822111E+03 4.990616E-02
2.836935E+03 4.871317E-02
2.851759E+03 4.757128E-02
2.866583E+03 4.647732E-02
2.881407E+03 4.542842E-02
2.896231E+03 4.442190E-02
2.911055E+03 4.345530E-02
2.925879E+03 4.252633E-02
2.940704E+03 4.163287E-02
2.955528E+03 4.077296E-02
2.970352E+03 3.994479E-02
2.985176E+03 3.914665E-02
3.000000E+03 3.837696E-02
