 m,M ->b,B
x-axis: "cos(p1,p3)"  from -1.000000 to 1.000000 N_points= 101
Diff. cross section [pb]
-9.900990E-01 9.710628E-03
-9.702970E-01 9.522173E-03
-9.504950E-01 9.345231E-03
-9.306931E-01 9.179802E-03
-9.108911E-01 9.025886E-03
-8.910891E-01 8.883483E-03
-8.712871E-01 8.752593E-03
-8.514851E-01 8.633217E-03
-8.316832E-01 8.525353E-03
-8.118812E-01 8.429002E-03
-7.920792E-01 8.344165E-03
-7.722772E-01 8.270840E-03
-7.524752E-01 8.209029E-03
-7.326733E-01 8.158731E-03
-7.128713E-01 8.119945E-03
-6.930693E-01 8.092673E-03
-6.732673E-01 8.076914E-03
-6.534653E-01 8.072668E-03
-6.336634E-01 8.079935E-03
-6.138614E-01 8.098715E-03
-5.940594E-01 8.129008E-03
-5.742574E-01 8.170814E-03
-5.544554E-01 8.224133E-03
-5.346535E-01 8.288965E-03
-5.148515E-01 8.365311E-03
-4.950495E-01 8.453169E-03
-4.752475E-01 8.552540E-03
-4.554455E-01 8.663425E-03
-4.356436E-01 8.785822E-03
-4.158416E-01 8.919733E-03
-3.960396E-01 9.065156E-03
-3.762376E-01 9.222093E-03
-3.564356E-01 9.390543E-03
-3.366337E-01 9.570506E-03
-3.168317E-01 9.761982E-03
-2.970297E-01 9.964971E-03
-2.772277E-01 1.017947E-02
-2.574257E-01 1.040549E-02
-2.376238E-01 1.064302E-02
-2.178218E-01 1.089206E-02
-1.980198E-01 1.115261E-02
-1.782178E-01 1.142468E-02
-1.584158E-01 1.170826E-02
-1.386139E-01 1.200335E-02
-1.188119E-01 1.230996E-02
-9.900990E-02 1.262808E-02
-7.920792E-02 1.295771E-02
-5.940594E-02 1.329886E-02
-3.960396E-02 1.365151E-02
-1.980198E-02 1.401569E-02
-8.673617E-18 1.439137E-02
1.980198E-02 1.477857E-02
3.960396E-02 1.517728E-02
5.940594E-02 1.558750E-02
7.920792E-02 1.600924E-02
9.900990E-02 1.644249E-02
1.188119E-01 1.688725E-02
1.386139E-01 1.734353E-02
1.584158E-01 1.781132E-02
1.782178E-01 1.829062E-02
1.980198E-01 1.878144E-02
2.178218E-01 1.928377E-02
2.376238E-01 1.979761E-02
2.574257E-01 2.032296E-02
2.772277E-01 2.085983E-02
2.970297E-01 2.140821E-02
3.168317E-01 2.196810E-02
3.366337E-01 2.253951E-02
3.564356E-01 2.312243E-02
3.762376E-01 2.371686E-02
3.960396E-01 2.432281E-02
4.158416E-01 2.494027E-02
4.356436E-01 2.556924E-02
4.554455E-01 2.620973E-02
4.752475E-01 2.686172E-02
4.950495E-01 2.752524E-02
5.148515E-01 2.820026E-02
5.346535E-01 2.888680E-02
5.544554E-01 2.958485E-02
5.742574E-01 3.029441E-02
5.940594E-01 3.101549E-02
6.138614E-01 3.174808E-02
6.336634E-01 3.249218E-02
6.534653E-01 3.324780E-02
6.732673E-01 3.401492E-02
6.930693E-01 3.479357E-02
7.128713E-01 3.558372E-02
7.326733E-01 3.638539E-02
7.524752E-01 3.719857E-02
7.722772E-01 3.802326E-02
7.920792E-01 3.885947E-02
8.118812E-01 3.970719E-02
8.316832E-01 4.056642E-02
8.514851E-01 4.143717E-02
8.712871E-01 4.231943E-02
8.910891E-01 4.321320E-02
9.108911E-01 4.411849E-02
9.306931E-01 4.503529E-02
9.504950E-01 4.596360E-02
9.702970E-01 4.690342E-02
9.900990E-01 4.785476E-02
