 m,M ->b,B
x-axis: "Sqrt(S)"  from 10.000000 to 200.000000 N_points= 100
Cross Section [pb]
1.000000E+01 1.187099E+02
1.191919E+01 1.807210E+02
1.383838E+01 1.539059E+02
1.575758E+01 1.251993E+02
1.767677E+01 1.020697E+02
1.959596E+01 8.422935E+01
2.151515E+01 7.047748E+01
2.343434E+01 5.976481E+01
2.535354E+01 5.130908E+01
2.727273E+01 4.454773E+01
2.919192E+01 3.907730E+01
3.111111E+01 3.460617E+01
3.303030E+01 3.092106E+01
3.494949E+01 2.786415E+01
3.686869E+01 2.531742E+01
3.878788E+01 2.319192E+01
4.070707E+01 2.142030E+01
4.262626E+01 1.995170E+01
4.454545E+01 1.874809E+01
4.646465E+01 1.778186E+01
4.838384E+01 1.703414E+01
5.030303E+01 1.649390E+01
5.222222E+01 1.615754E+01
5.414141E+01 1.602908E+01
5.606061E+01 1.612094E+01
5.797980E+01 1.645556E+01
5.989899E+01 1.706797E+01
6.181818E+01 1.800998E+01
6.373737E+01 1.935661E+01
6.565657E+01 2.121638E+01
6.757576E+01 2.374771E+01
6.949495E+01 2.718629E+01
7.141414E+01 3.189179E+01
7.333333E+01 3.843180E+01
7.525253E+01 4.774022E+01
7.717172E+01 6.143595E+01
7.909091E+01 8.251643E+01
8.101010E+01 1.170241E+02
8.292929E+01 1.786030E+02
8.484848E+01 3.033584E+02
8.676768E+01 6.123106E+02
8.868687E+01 1.696147E+03
9.060606E+01 7.372561E+03
9.252525E+01 4.256049E+03
9.444444E+01 1.179317E+03
9.636364E+01 5.170138E+02
9.828283E+01 2.895134E+02
1.002020E+02 1.862222E+02
1.021212E+02 1.307763E+02
1.040404E+02 9.754181E+01
1.059596E+02 7.600605E+01
1.078788E+02 6.121850E+01
1.097980E+02 5.059990E+01
1.117172E+02 4.269862E+01
1.136364E+02 3.664635E+01
1.155556E+02 3.189753E+01
1.174747E+02 2.809508E+01
1.193939E+02 2.499721E+01
1.213131E+02 2.243529E+01
1.232323E+02 2.028885E+01
1.251515E+02 1.848765E+01
1.270707E+02 1.691187E+01
1.289899E+02 1.556597E+01
1.309091E+02 1.439365E+01
1.328283E+02 1.336499E+01
1.347475E+02 1.245635E+01
1.366667E+02 1.164888E+01
1.385859E+02 1.092734E+01
1.405051E+02 1.027932E+01
1.424242E+02 9.694632E+00
1.443434E+02 9.164819E+00
1.462626E+02 8.682831E+00
1.481818E+02 8.242742E+00
1.501010E+02 7.839541E+00
1.520202E+02 7.468965E+00
1.539394E+02 7.127366E+00
1.558586E+02 6.811609E+00
1.577778E+02 6.518983E+00
1.596970E+02 6.247135E+00
1.616162E+02 5.994015E+00
1.635354E+02 5.757825E+00
1.654545E+02 5.536989E+00
1.673737E+02 5.330114E+00
1.692929E+02 5.135968E+00
1.712121E+02 4.953455E+00
1.731313E+02 4.781603E+00
1.750505E+02 4.619539E+00
1.769697E+02 4.466484E+00
1.788889E+02 4.321736E+00
1.808081E+02 4.184664E+00
1.827273E+02 4.054697E+00
1.846465E+02 3.931319E+00
1.865657E+02 3.814063E+00
1.884848E+02 3.702502E+00
1.904040E+02 3.596249E+00
1.923232E+02 3.494950E+00
1.942424E+02 3.398281E+00
1.961616E+02 3.305945E+00
1.980808E+02 3.217670E+00
2.000000E+02 3.133207E+00
